epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27820.1,0.71027,2.35054,1.19109,0.45958,0.30675,0.25895,0.22139,0.52042,1.63046,1.02298,0.00333293,0.00333293,0.00333293
2,51404.4,0.72491,1.91416,1.1873,0.43197,0.32554,0.30025,0.25693,0.51966,1.48343,1.02208,0.00653427,0.00653427,0.00653427
3,76567.7,0.79562,2.01724,1.24009,0.42373,0.33971,0.30681,0.2606,0.54472,1.49848,1.0465,0.00960361,0.00960361,0.00960361
4,102194,0.802,2.01063,1.24978,0.48669,0.34199,0.33151,0.28641,0.50327,1.40152,1.01756,0.009406,0.009406,0.009406
5,129147,0.75126,1.85663,1.21386,0.46822,0.37867,0.36027,0.31679,0.47081,1.30703,0.99321,0.009208,0.009208,0.009208
6,155940,0.71923,1.76342,1.19166,0.46117,0.40483,0.37898,0.33665,0.44934,1.25478,0.97635,0.00901,0.00901,0.00901
