epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13964.6,0.77663,0.89388,1.19077,0.49775,0.32582,0.3376,0.20583,1.53686,2.12928,1.92606,0.00013189,0.00013189,0.00013189
43,14268.5,0.78971,0.91483,1.21174,0.51023,0.29101,0.31807,0.19602,1.48398,2.09625,1.88814,0.000129692,0.000129692,0.000129692
44,14516,0.76362,0.85564,1.17503,0.48236,0.29853,0.32096,0.19919,1.48621,2.12242,1.89156,0.000127495,0.000127495,0.000127495
45,14793.7,0.7541,0.8461,1.17242,0.42117,0.36437,0.34195,0.20276,1.49781,2.08251,1.91737,0.000125297,0.000125297,0.000125297
46,15080.6,0.75744,0.83348,1.17287,0.58025,0.32122,0.34828,0.20591,1.55132,2.07238,1.95336,0.000123099,0.000123099,0.000123099
47,15541.7,0.74651,0.80338,1.1742,0.57375,0.32765,0.34457,0.2063,1.52881,2.15176,1.92569,0.000120901,0.000120901,0.000120901
48,16090.7,0.74044,0.83146,1.17505,0.59795,0.30679,0.36143,0.22197,1.52756,2.0857,1.91818,0.000118703,0.000118703,0.000118703
49,16384.6,0.72148,0.77556,1.15514,0.52013,0.34657,0.33887,0.20015,1.54797,2.06411,1.93967,0.000116506,0.000116506,0.000116506
50,16708.7,0.70405,0.75195,1.14848,0.58752,0.32699,0.34882,0.2097,1.56309,2.03579,1.97797,0.000114308,0.000114308,0.000114308
51,16980.9,0.71001,0.77116,1.145,0.46016,0.32513,0.31593,0.19293,1.56015,2.20535,1.98526,0.00011211,0.00011211,0.00011211
52,17311.6,0.72784,0.79783,1.16429,0.59564,0.30669,0.33687,0.20708,1.5359,2.11824,1.94027,0.000109912,0.000109912,0.000109912
53,17683.4,0.68623,0.74383,1.12829,0.58451,0.30736,0.34466,0.20556,1.51162,2.08961,1.95639,0.000107714,0.000107714,0.000107714
54,17983.2,0.69212,0.74461,1.12595,0.48694,0.33684,0.34714,0.21066,1.54571,2.1631,1.98547,0.000105517,0.000105517,0.000105517
55,18459.7,0.6742,0.70601,1.12729,0.46542,0.35074,0.35086,0.21153,1.52422,2.12127,1.96117,0.000103319,0.000103319,0.000103319
56,18905.8,0.68231,0.75208,1.13354,0.56766,0.2776,0.32516,0.20132,1.51258,2.29389,1.93568,0.000101121,0.000101121,0.000101121
57,19222.6,0.66853,0.71028,1.12141,0.37266,0.33449,0.31673,0.19479,1.49446,2.25582,1.94063,9.89232e-05,9.89232e-05,9.89232e-05
58,19555.4,0.64922,0.67062,1.10107,0.40878,0.33742,0.33368,0.20424,1.535,2.28024,1.96,9.67254e-05,9.67254e-05,9.67254e-05
59,19876.1,0.66947,0.6904,1.12119,0.55553,0.34169,0.3402,0.2096,1.53121,2.21733,1.96329,9.45276e-05,9.45276e-05,9.45276e-05
60,20219.7,0.66216,0.67427,1.12526,0.53253,0.32834,0.34711,0.21189,1.56004,2.18296,1.9864,9.23298e-05,9.23298e-05,9.23298e-05
61,20528.1,0.65932,0.66734,1.11519,0.51477,0.3233,0.33803,0.20815,1.49876,2.20902,1.90964,9.0132e-05,9.0132e-05,9.0132e-05
62,20816.6,0.64048,0.65365,1.11019,0.54945,0.31053,0.32872,0.19712,1.52615,2.18094,1.97847,8.79342e-05,8.79342e-05,8.79342e-05
63,21292.2,0.64413,0.6478,1.11448,0.46187,0.34953,0.33302,0.19976,1.56676,2.21554,1.99022,8.57364e-05,8.57364e-05,8.57364e-05
