epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,22023.8,1.00951,1.67124,1.30946,0.53857,0.47952,0.48887,0.35575,1.08379,1.62955,1.34075,0.00307,0.00307,0.00307
44,22782,1.01439,1.65888,1.31007,0.53726,0.48422,0.49038,0.3569,1.08323,1.62526,1.33989,0.002905,0.002905,0.002905
45,23538.1,1.00669,1.64657,1.30411,0.54127,0.4854,0.49225,0.35842,1.08248,1.62121,1.33907,0.00274,0.00274,0.00274
46,24295.2,1.00428,1.62752,1.30296,0.54436,0.48517,0.49329,0.35903,1.08197,1.61664,1.33843,0.002575,0.002575,0.002575
47,25052.9,0.99633,1.60104,1.29856,0.55115,0.48221,0.49472,0.3602,1.08134,1.61266,1.33769,0.00241,0.00241,0.00241
48,25811.3,0.9982,1.58563,1.30161,0.56139,0.47328,0.49621,0.36165,1.08088,1.60851,1.33712,0.002245,0.002245,0.002245
49,26570.1,0.99021,1.56963,1.29366,0.56098,0.47793,0.49804,0.3631,1.0803,1.60446,1.33642,0.00208,0.00208,0.00208
50,27326.1,0.98705,1.56264,1.29132,0.53381,0.50087,0.5007,0.36528,1.07968,1.60089,1.33592,0.001915,0.001915,0.001915
51,28103.3,0.98433,1.47393,1.31906,0.53485,0.50242,0.50215,0.36623,1.07859,1.59658,1.33483,0.00175,0.00175,0.00175
52,28856.2,0.97582,1.43657,1.31611,0.53803,0.50421,0.50398,0.36795,1.07738,1.59185,1.33382,0.001585,0.001585,0.001585
53,29609.6,0.96676,1.39966,1.30839,0.53905,0.50614,0.50554,0.37016,1.07616,1.58681,1.33275,0.00142,0.00142,0.00142
54,30362.7,0.95925,1.37283,1.30064,0.55026,0.50021,0.50744,0.37146,1.07475,1.58169,1.33152,0.001255,0.001255,0.001255
55,31116.6,0.95216,1.34171,1.29585,0.55636,0.49987,0.50925,0.37286,1.07334,1.57681,1.33038,0.00109,0.00109,0.00109
56,31869.9,0.95083,1.32941,1.29446,0.55973,0.50059,0.51133,0.37464,1.07218,1.57193,1.32954,0.000925,0.000925,0.000925
57,32625.3,0.9418,1.29832,1.28949,0.56499,0.5022,0.51374,0.37671,1.0712,1.56727,1.32871,0.00076,0.00076,0.00076
58,33379.7,0.93881,1.27597,1.28353,0.56941,0.50164,0.51542,0.37805,1.07027,1.56251,1.32792,0.000595,0.000595,0.000595
59,34134.8,0.93407,1.25921,1.27943,0.57338,0.5013,0.51658,0.37936,1.06924,1.55817,1.32715,0.00043,0.00043,0.00043
60,34888.9,0.92919,1.24492,1.27677,0.57744,0.49987,0.51894,0.38083,1.06835,1.55407,1.32656,0.000265,0.000265,0.000265
